libelle_fr,libelle_ar,year,value,city,base_year
Communications,المواصلات,2020,103.3,beni_mellal,2017
Indice général,الرقم الإستدلالي العام,2021,105.9,guelmim,2017
Assurance,التأمين,2016,100.2,settat,2006
Santé,الصحة,2021,100.8,fes,2017
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2019,99.8,marrakech,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2020,101.2,al_hoceima,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,104.3,dakhla,2017
"Matériel audiovisuel, photographique et de traitementde l'information",المعدات السمعية البصرية والفوتوغرافية ومعدات معالجةالمعلومات,2021,90.3,kenitra,2017
Communications,المواصلات,2021,101.7,agadir,2017
Services hospitaliers,الخدمات الإستشفائية,2017,138.6,kenitra,2006
Soins corporels,العناية بالجسد,2018,125.5,safi,2006
Autres services,خدمات أخرى,2018,102.6,safi,2017
Produits alimentaires et boissons non alcoolisées,المواد الغذائية والمشروبات غير الكحولية,2018,102.6,fes,2017
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2018,110.5,safi,2006
Soins corporels,العناية بالجسد,2018,102.5,agadir,2017
"Journaux, livres et articles de papeterie",الصحف والكتب والمواد الورقية,2018,115.2,marrakech,2006
Tabac,التبغ,2018,110.9,al_hoceima,2017
"Verrerie, vaisselle et ustensiles de ménage",مواد زجاجية، أواني وأدوات منزلية,2018,111.8,agadir,2006
Matériel de téléphonie et de télécopie,معدات الهاتف والفاكس,2018,94.7,al_hoceima,2017
Enseignement supérieur,التعليم العالي,2021,114.1,agadir,2017
Variation (en %),نسبة التغـيـر (%),2019,0.4,beni_mellal,2017
Enseignement,التعليم,2021,111.0,kenitra,2017
Enseignement postsecondaire non supérieur,التعليم ما بعد المرحلة الثانوية غير العالي,2019,100.0,beni_mellal,2017
Articles de ménage en textiles,مواد منزلية من النسيج,2016,97.2,settat,2006
Santé,الصحة,2020,100.4,beni_mellal,2017
Enseignement,التعليم,2018,123.7,safi,2006
Services récréatifs et culturels,خدمات الترفيه والثقافة,2018,94.8,agadir,2006
Achat de véhicules,شراء العربات,2018,100.6,fes,2017
Produits alimentaires,المواد الغذائية,2018,123.8,tetouan,2006
Entretien et réparation des logements,صيانة وإصلاح المساكن,2018,99.8,errachidia,2017
Produits alimentaires,المواد الغذائية,2016,124.8,dakhla,2006
